date_of_sale,gross_sales,cogs
2024-01-01,49,18.6
2024-01-02,418.18,40.08
2024-01-03,779.7,284.25
2024-01-04,1231.1100000000001,521.5799999999999
2024-01-05,962.3299999999999,305.97
2024-01-06,814.16,279.47
2024-01-07,441.5,192.16
2024-01-08,729.35,345.85
2024-01-09,7.07,3.5
2024-01-10,682.6800000000001,296.25
2024-01-11,512.65,202.65
2024-01-12,2034.6899999999998,802.87
2024-01-13,1623.39,679.0500000000001
2024-01-14,768.41,314.35
2024-01-15,343.24,133
2024-01-16,358.15,234.25
2024-01-17,261.41,127
2024-01-18,427.47999999999996,190.5
2024-01-19,1317.97,521.6199999999999
2024-01-20,1872.2399999999998,634.1
2024-01-21,317.85,157
2024-01-22,421.45,177.14
2024-01-23,440.5,189.25
2024-01-24,352.74,150.75
2024-01-25,712.95,240.77999999999997
2024-01-26,1305.21,620
2024-01-27,766.9799999999999,316.08
2024-01-28,678.69,203.94000000000003
2024-01-29,699.6800000000001,299.08
2024-01-30,501.5,228.25
2024-01-31,1314.97,559
2024-02-01,1841.04,706.9
2024-02-02,925.0099999999999,402.5
2024-02-03,644.37,317.25
2024-02-04,909.6600000000001,387.36
2024-02-05,682.15,315
2024-02-06,1018.9000000000001,429.98
2024-02-07,666.8000000000001,295
2024-02-08,2283.9100000000003,1010.8499999999999
2024-02-09,2527.27,1138.16
2024-02-10,2074.84,852
2024-02-11,1147.3000000000002,525.29
2024-02-12,1086.65,411.65
2024-02-13,1451.33,630.25
2024-02-14,1576.8600000000001,677.35
2024-02-15,731.0799999999999,317
2024-02-16,3890.189999999999,1808.19
2024-02-17,3849.77,1660.66
2024-02-18,3090.7099999999987,1370.15
2024-02-19,783,333.5
2024-02-20,1457.68,549.97
2024-02-21,1268,551.5
2024-02-22,2180.99,955.94
2024-02-23,1976.44,857.45
2024-02-24,3183.6100000000006,1460.52
2024-02-25,2177.6899999999996,916.9100000000001
2024-02-26,1843,756.8
2024-02-27,681.04,324.25
2024-02-28,1049.3,476.76
2024-02-29,2058.82,958.0900000000001
2024-03-01,3033.37,1429.3600000000001
2024-03-02,7001.390000000001,3231.1200000000003
2024-03-03,1882.7299999999998,933.3000000000001
2024-03-04,336,135
2024-03-05,1892,763.25
2024-03-06,483,207.75
2024-03-07,284.5,105.25
2024-03-08,1200.4,502.55
2024-03-09,1213.8000000000002,540.1
2024-03-10,1561,665.75
2024-03-11,823.95,263
2024-03-12,815,309.5
2024-03-13,1586,692.9100000000001
2024-03-14,94,42
2024-03-15,351,150
2024-03-16,1656.5,616.1800000000001
2024-03-17,971,399.26000000000005
2024-03-18,1796,755
2024-03-19,713,262.25
2024-03-20,1398,539.25
2024-03-21,380,99.8
2024-03-22,735.5,283.64
2024-03-23,842.5,345.66
2024-03-24,560,232.49
2024-03-25,163,65.25
2024-03-26,372,154.16
2024-03-27,860,357.5
2024-03-28,1258.4,488.67
2024-03-29,926,365.5
2024-03-30,1168.95,453.63
2024-03-31,0,0
2024-04-01,276,84
2024-04-02,503,212
2024-04-03,1319.5,507
2024-04-04,1260.5,423.4
2024-04-05,1500,579.15
2024-04-06,792,330.25
2024-04-07,1122,444
2024-04-08,540.95,225.5
2024-04-09,1561.95,663.5
2024-04-10,579.95,248.28
2024-04-11,5698.5,2332.78
2024-04-12,2135,833.5
2024-04-13,935.5,391.5
2024-04-14,2528.95,1095.03
2024-04-15,859,368.66
2024-04-16,1386,569.75
2024-04-17,886.5,389.25
2024-04-18,360,60
2024-04-19,1482.5,580
2024-04-20,1437,556.75
2024-04-21,1236,526
2024-04-22,633.95,212.8
2024-04-23,548,237
2024-04-24,1116,421.15999999999997
2024-04-25,1586,633.75
2024-04-26,656.9,261.06000000000006
2024-04-27,1254.95,515.2
2024-04-28,1410.95,475.29999999999995
2024-04-29,1056,400
2024-04-30,736,310.5
2024-05-01,1992,739.1299999999999
2024-05-02,1906,718.65
2024-05-03,1210,516.5
2024-05-04,3470.9,1474.3400000000001
2024-05-05,1420,596.75
2024-05-06,324.95,73.8
2024-05-07,1135.95,469.8
2024-05-08,2059,886.9100000000001
2024-05-09,708.95,213.16
2024-05-10,1753,740.66
2024-05-11,3372.45,1318.9900000000002
2024-05-12,2669.95,861.48
2024-05-13,732,287
2024-05-14,1862,786
2024-05-15,701,294.75
2024-05-16,1531,667.7
2024-05-17,1532.5,630.75
2024-05-18,1540.8500000000001,592.8700000000001
2024-05-19,292.95,121.9
2024-05-20,1618,644
2024-05-21,982,431.5
2024-05-22,672,223.16
2024-05-23,1310,550.25
2024-05-24,1443.9,473.85999999999996
2024-05-25,1611.95,696.25
2024-05-26,1850,756.41
2024-05-27,747,296.5
2024-05-28,1399,603.15
2024-05-29,1895,720.89
2024-05-30,1080,415.87
2024-05-31,1333.95,592
2024-06-01,1985.95,792.7599999999999
2024-06-02,6021.4,2478.89
2024-06-03,1241.95,532.3
2024-06-04,2356.95,1015.82
2024-06-05,434,193.5
2024-06-06,1001.95,404.15999999999997
2024-06-07,2856.95,1132.79
2024-06-08,1112.45,453.42999999999995
2024-06-09,297,132.12
2024-06-10,1994,886.75
2024-06-11,1185,444.99
2024-06-12,964,359.06
2024-06-13,838,338.49
2024-06-14,1208.95,498.37
2024-06-15,2583.5,1129.4099999999999
2024-06-16,236,48.83
2024-06-17,1234,483
2024-06-18,778.5,340.75
2024-06-19,1754,693.6600000000001
2024-06-20,2993.8999999999996,1287.72
2024-06-21,2242,843.25
2024-06-22,1259,504.49
2024-06-23,1623,661
2024-06-24,906,359.25
2024-06-25,2153.5,857.39
2024-06-26,1075.95,390.15999999999997
2024-06-27,1468,557.63
2024-06-28,1894,723
2024-06-29,1472.3,653.15
2024-06-30,1301,438.88
2024-07-01,1188.3,485.36
2024-07-02,622,260
2024-07-03,818,334
2024-07-04,269,110
2024-07-05,2015.95,862.75
2024-07-06,3439,1221.9099999999999
2024-07-07,1911.95,802.74
2024-07-08,1036.45,387.73
2024-07-09,823,347.5
2024-07-10,539.5,225.15
2024-07-11,571.95,226.79
2024-07-12,1728,720.5
2024-07-13,1658.45,545.51
2024-07-14,2217.45,928.74
2024-07-15,369,116.61000000000001
2024-07-16,330,149
2024-07-17,2800.95,1192.75
2024-07-18,2357,987
2024-07-19,1175.5,496.25
2024-07-20,1264.9,524.48
2024-07-21,1174.5,435.75
2024-07-22,333.5,134.75
2024-07-23,702,317.5
2024-07-24,843,351.5
2024-07-25,1779,743.4
2024-07-26,1300,511
2024-07-27,2208.95,906.2099999999999
2024-07-28,730,312.5
2024-07-29,416.5,181.75
2024-07-30,873.5,369.90000000000003
2024-07-31,997,437
2024-08-01,1725.9,757.8
2024-08-02,1507,587.04
2024-08-03,737.95,330.5
2024-08-04,388.95,163.4
2024-08-05,646,183.14
2024-08-06,447,172.17
2024-08-07,399,120.5
2024-08-08,817,351
2024-08-09,594,246.15
2024-08-10,1871,773.85
2024-08-11,1506,604.52
2024-08-12,540,221.15
2024-08-13,235,96
2024-08-14,199,84
2024-08-15,631,220.69
2024-08-16,682,272.5
2024-08-17,986,429.5
2024-08-18,48,21.5
2024-08-19,279,103.5
2024-08-20,1004,450.5
2024-08-21,1615.5,535.25
2024-08-22,1195.9,516.5
2024-08-23,2106,928.25
2024-08-24,2362,884.9200000000001
2024-08-25,960.95,232.99
2024-08-26,1975,808.5300000000001
2024-08-27,25,-135
2024-08-28,397,156
2024-08-29,1065,432.89
2024-08-30,1661,708.9
2024-08-31,2708.95,1131.8
2024-09-01,1293.95,531.89
2024-09-02,557,241
2024-09-03,1155.5,472.75
2024-09-04,679,277.45
2024-09-05,772,333
2024-09-06,929.5,383.25
2024-09-07,2080,760.75
2024-09-08,889,317.5
2024-09-09,1011.95,365.5
2024-09-10,612,253.5
2024-09-11,838,318.3
2024-09-12,2200,911.29
2024-09-13,672.45,269.84999999999997
2024-09-14,1457,584.61
2024-09-15,1613.45,587.45
2024-09-16,1139.5,412.82
2024-09-17,535,210.05
2024-09-18,1409.5,598.85
2024-09-19,1555,646.3
2024-09-20,1281.95,402.14
2024-09-21,1763.5,680.25
2024-09-22,861,346.24
2024-09-23,504,195
2024-09-24,467,190
2024-09-25,1870,713
2024-09-26,1436.5,582.95
2024-09-27,1742,720
2024-09-28,2019,786.5
2024-09-29,571,210.9
2024-09-30,1568.5,619.8499999999999
2024-10-01,2296.5,938.7
2024-10-02,3588.5,1459.28
2024-10-03,1298,504.49
2024-10-04,1522.5,630.5
2024-10-05,2604,1075.2
2024-10-06,827.95,281.8
2024-10-07,370,153.5
2024-10-08,857.5,359
2024-10-09,806.5,359.37
2024-10-10,2256.95,940.2
2024-10-11,2173,916.9
2024-10-12,4380.95,1799.4199999999998
2024-10-13,3023.95,1227.5
2024-10-14,1490,584
2024-10-15,2533.5,1066.75
2024-10-16,1668,652.4
2024-10-17,359,107.5
2024-10-18,1862.5,638.79
2024-10-19,2203.95,892.49
2024-10-20,805.5,241.39
2024-10-21,441,130.49
2024-10-22,554,229.95
2024-10-23,900,342.75
2024-10-24,1623,645.95
2024-10-25,739.5,330.90999999999997
2024-10-26,585,241.75
2024-10-27,602.95,247.8
2024-10-28,904,385.5
2024-10-29,1504.5,606.35
2024-10-30,2018.9,840.8
2024-10-31,1945.95,728.5
2024-11-01,2552,978.05
2024-11-02,2959,1224.8000000000002
2024-11-03,181,75.5
2024-11-04,272,92.4
2024-11-05,960.95,403.25
2024-11-06,216,98
2024-11-07,1239,422
2024-11-08,856,276.49
2024-11-09,795,337.55
2024-11-10,1212,477.4
2024-11-11,813,270
2024-11-12,1990.5,723.4
2024-11-13,1100,445.62
2024-11-14,395.5,160.75
2024-11-15,2345.45,981.55
2024-11-16,889,357.32
2024-11-17,3392,1246.4
2024-11-18,771,305
2024-11-19,904,374.5
2024-11-20,1650,674.5
2024-11-21,1057,443.25
2024-11-22,898.95,383.3
2024-11-23,1764,625.5
2024-11-24,601,247.5
2024-11-25,614,219.14
2024-11-26,1210,489.27
2024-11-27,1773,674.8
2024-11-28,0,0
2024-11-29,1579,596.04
2024-11-30,2016,818.34
2024-12-01,1793.5,764.55
2024-12-02,3192,1341.62
2024-12-03,1496.45,592.8199999999999
2024-12-04,1095,486
2024-12-05,248,101
2024-12-06,2942,932.2700000000001
2024-12-07,1978.5,635.25
2024-12-08,1113,456.15
2024-12-09,1449,600.3
2024-12-10,1979.95,827.5999999999999
2024-12-11,3455.95,1264.45
2024-12-12,2479.95,1045.3
2024-12-13,1721.5,710.75
2024-12-14,3608,1509.06
2024-12-15,3545,1465.5
2024-12-16,1611.9,687.3
2024-12-17,1468.5,599.25
2024-12-18,913,348.9
2024-12-19,2563,1058.9
2024-12-20,3064.9,1272.18
2024-12-21,2873,1116.9
2024-12-22,2668.95,1054.35
2024-12-23,3082.95,1265.43
2024-12-24,1513,592.75
2024-12-25,126,48
2024-12-26,88,40
2024-12-27,1785,502.96999999999997
2024-12-28,2115,755.4299999999998
2024-12-29,2021.95,826.9
2024-12-30,1979,766.6999999999999
2024-12-31,920.9000000000001,386.5
